routine	key	size	epopenblas-omp1	epopenblas-omp4	parallel-blas-omp1	parallel-blas-omp4	migrated-serial	mig_par_omp1	mig_par_omp4	mig_ep_omp1	mig_ep_omp4
ygbmv	C	1024	2.8559	1.9795	2.7097	2.0206	2.7113	2.7113	2.7077	2.7037	2.6996
ygbmv	C/x-1	128	3.0250	2.9673	3.0046	2.9807	2.8377	2.8377	2.9022	2.8746	2.8436
ygbmv	C/x-1	256	2.9285	2.8611	2.8771	2.9296	2.8041	2.8041	2.7985	2.8053	2.7411
ygbmv	C/x-1	512	2.7591	1.5361	2.8673	2.8667	2.7514	2.7514	2.7502	2.7505	2.7030
ygbmv	C/x-1	1024	2.7064	1.9369	2.8565	2.8506	2.7256	2.7256	2.7154	2.5960	2.6960
ygbmv	C/x-1/y-1	128	3.0245	3.0012	3.0179	3.0114	2.9093	2.9093	2.8694	2.9092	2.9063
ygbmv	C/x-1/y-1	256	2.9276	2.9298	2.9199	2.9218	2.7882	2.7882	2.8021	2.8051	2.7866
ygbmv	C/x-1/y-1	512	2.8557	1.5372	2.8687	2.8682	2.7507	2.7507	2.7140	2.7505	2.7131
ygbmv	C/x-1/y-1	1024	2.8332	1.8972	2.8331	2.8475	2.7159	2.7159	2.7235	2.7193	2.6643
ygbmv	C/x-1/y2	128	2.8907	3.0321	3.0183	3.0087	2.9070	2.9070	2.9020	2.7810	2.9047
ygbmv	C/x-1/y2	256	2.8005	2.8925	2.9222	2.8655	2.8031	2.8031	2.7532	2.6812	2.7689
ygbmv	C/x-1/y2	512	2.7458	1.5809	2.8426	2.7182	2.6487	2.6487	2.7098	2.6269	2.7294
ygbmv	C/x-1/y2	1024	2.7542	1.9386	2.7889	2.7419	2.7157	2.7157	2.7272	2.7214	2.6146
ygbmv	C/x2	128	3.0308	3.0309	3.0256	3.0175	2.9107	2.9107	2.8937	2.8879	2.9103
ygbmv	C/x2	256	2.8933	2.9114	2.9145	2.9105	2.8066	2.8066	2.8011	2.8059	2.7875
ygbmv	C/x2	512	2.8550	1.5845	2.8789	2.8476	2.7522	2.7522	2.7419	2.7338	2.7413
ygbmv	C/x2	1024	2.7728	1.9285	2.7725	2.8521	2.6680	2.6680	2.7211	2.7244	2.7166
ygbmv	C/x2/y-1	128	3.0292	3.0306	3.0173	3.0077	2.9072	2.9072	2.9028	2.9087	2.8656
ygbmv	C/x2/y-1	256	2.7020	2.8338	2.9209	2.9175	2.7869	2.7869	2.7850	2.8048	2.8010
ygbmv	C/x2/y-1	512	2.7443	1.5682	2.7260	2.8694	2.7502	2.7502	2.7496	2.7333	2.6991
ygbmv	C/x2/y-1	1024	2.8456	1.9012	2.8446	2.8461	2.7286	2.7286	2.7012	2.6457	2.6674
ygbmv	C/x2/y2	128	2.9938	3.0260	3.0166	2.9291	2.9053	2.9053	2.8992	2.9054	2.9062
ygbmv	C/x2/y2	256	2.9100	2.9282	2.9215	2.9165	2.8038	2.8038	2.8020	2.8034	2.7865
ygbmv	C/x2/y2	512	2.8621	1.5759	2.8600	2.8602	2.7505	2.7505	2.7497	2.7414	2.6890
ygbmv	C/x2/y2	1024	2.8458	1.8719	2.8450	2.8071	2.7208	2.7208	2.7206	2.6166	2.6340
ygbmv	C/y-1	128	3.0338	3.0343	3.0182	3.0161	2.8921	2.8921	2.6237	2.8962	2.8984
ygbmv	C/y-1	256	2.6342	2.9348	2.9234	2.8473	2.7940	2.7940	2.7877	2.7089	2.7940
ygbmv	C/y-1	512	2.8426	1.5885	2.8431	2.8419	2.7186	2.7186	2.7317	2.7259	2.7318
ygbmv	C/y-1	1024	2.8022	1.9696	2.8434	2.7707	2.7218	2.7218	2.6709	2.7212	2.6805
ygbmv	C/y2	128	2.9941	3.0341	2.9791	2.9724	2.8550	2.8550	2.8488	2.8978	2.8619
ygbmv	C/y2	256	2.8814	2.9351	2.9255	2.9178	2.7789	2.7789	2.7762	2.7969	2.7782
ygbmv	C/y2	512	2.8824	1.5633	2.8682	2.8600	2.7259	2.7259	2.7412	2.7362	2.7248
ygbmv	C/y2	1024	2.8638	1.9535	2.8494	2.8442	2.7161	2.7161	2.7142	2.7178	2.7010
ygbmv	N	128	2.0174	2.0629	2.0173	2.0550	2.0313	2.0313	2.0820	2.0241	2.0757
ygbmv	N	256	1.9579	1.9994	1.9684	2.0083	1.9801	1.9801	2.0338	1.9951	2.0183
ygbmv	N	512	1.9993	1.2678	1.9925	2.0151	2.0420	2.0420	2.0873	2.0420	2.0869
ygbmv	N	1024	2.0091	1.4959	2.0163	2.0662	2.0261	2.0261	2.0709	2.0275	1.9810
ygbmv	N/x-1	128	2.1562	2.1753	2.1552	2.1748	2.1814	2.1814	2.1777	2.1587	2.1806
ygbmv	N/x-1	256	2.1125	2.1115	2.1129	2.1132	2.0994	2.0994	2.1081	2.0984	1.9998
ygbmv	N/x-1	512	2.0732	1.2858	2.0349	2.0728	2.0877	2.0877	2.0828	2.0726	2.0733
ygbmv	N/x-1	1024	2.0642	1.5273	2.0590	2.0665	2.0704	2.0704	2.0683	2.0711	2.0706
ygbmv	N/x-1/y-1	128	2.2748	2.2979	2.3075	2.2874	2.2826	2.2826	2.2800	2.3073	2.3069
ygbmv	N/x-1/y-1	256	2.2295	2.2068	2.2217	2.2419	2.2410	2.2410	2.2088	2.2389	2.2300
ygbmv	N/x-1/y-1	512	2.1696	1.2431	2.2028	2.2026	2.2069	2.2069	2.2005	2.2011	2.1785
ygbmv	N/x-1/y-1	1024	2.1785	1.5070	2.1856	2.1121	2.1556	2.1556	2.1409	2.1902	2.1445
ygbmv	N/x-1/y2	128	2.2978	2.2973	2.3079	2.3082	2.3045	2.3045	2.2813	2.3053	2.0001
ygbmv	N/x-1/y2	256	2.2297	2.2261	2.2423	2.2412	2.2404	2.2404	2.2286	2.2408	2.2400
ygbmv	N/x-1/y2	512	2.1896	1.3111	2.2028	2.2069	2.2071	2.2071	2.2013	2.0613	2.1854
ygbmv	N/x-1/y2	1024	2.1643	1.5293	2.1791	2.1800	2.1862	2.1862	2.1843	2.1911	2.1773
ygbmv	N/x2	128	2.1754	2.1752	2.1748	2.1748	2.1803	2.1803	2.1781	2.1798	2.1607
ygbmv	N/x2	256	2.1022	2.1031	2.0653	2.1036	2.1072	2.1072	2.1176	2.1178	2.1168
ygbmv	N/x2	512	2.0824	1.3067	2.0815	2.0782	2.0833	2.0833	2.0681	2.0693	2.0436
ygbmv	N/x2	1024	2.0617	1.5406	2.0567	2.0590	2.0732	2.0732	2.0662	2.0727	2.0625
ygbmv	N/x2/y-1	128	2.2753	2.2928	2.2859	2.2864	2.3063	2.3063	2.3034	2.2852	2.2829
ygbmv	N/x2/y-1	256	2.2295	2.2090	2.2423	2.2410	2.2414	2.2414	2.2386	2.2403	2.2402
ygbmv	N/x2/y-1	512	2.1939	1.3170	2.2078	2.1464	2.2020	2.2020	2.2028	2.1856	2.1797
ygbmv	N/x2/y-1	1024	2.1774	1.5459	2.1274	2.1407	2.1914	2.1914	2.1328	2.1918	2.1636
ygbmv	N/x2/y2	128	2.0466	2.2857	2.3066	2.3082	2.2598	2.2598	2.2811	2.1894	2.3053
ygbmv	N/x2/y2	256	2.2288	2.2195	2.2109	2.2401	2.2401	2.2401	2.2389	2.2297	2.2404
ygbmv	N/x2/y2	512	2.1907	1.2988	2.2029	2.1967	2.1970	2.1970	2.1914	2.1462	2.1899
ygbmv	N/x2/y2	1024	2.1583	1.5413	2.1764	2.1877	2.1914	2.1914	2.1857	2.1814	2.1811
ygbmv	N/y-1	128	2.2949	2.2985	2.3082	2.3080	2.3065	2.3065	2.3038	2.2615	2.3039
ygbmv	N/y-1	256	2.2151	2.2287	2.2429	2.2412	2.0377	2.0377	2.2291	2.2291	2.1734
ygbmv	N/y-1	512	2.1887	1.3063	2.2073	2.1960	2.2018	2.2018	2.1444	2.1901	2.1949
ygbmv	N/y-1	1024	2.1750	1.5138	2.1749	2.1857	2.1882	2.1882	2.1616	2.1901	2.1864
ygbmv	N/y2	128	2.2463	2.1959	2.2540	2.3090	2.2517	2.2517	2.3013	2.2542	2.2001
ygbmv	N/y2	256	2.0848	2.1305	2.1930	2.2413	2.1922	2.1922	2.2396	2.1906	2.1406
ygbmv	N/y2	512	2.1899	1.2512	2.1974	2.2080	2.1476	2.1476	2.1964	2.2013	2.1195
ygbmv	N/y2	1024	2.1555	1.5406	2.1752	2.1777	2.1865	2.1865	2.1863	2.1910	2.1818
ygbmv	T	128	3.1348	3.0702	3.0759	0.7883	3.2554	3.2554	3.2555	3.2156	3.1936
ygbmv	T	256	3.0216	2.9522	3.0579	1.2135	3.1386	3.1386	3.1239	3.1655	3.0948
ygbmv	T	512	2.9597	1.6272	3.0538	1.7010	3.1038	3.1038	3.0367	3.0867	3.0395
ygbmv	T	1024	2.9248	2.0080	3.0475	2.1703	3.0757	3.0757	2.9679	3.0825	3.0746
ygbmv	T/x-1	128	3.1391	3.1932	3.1875	3.1826	3.2857	3.2857	3.2705	3.3328	3.3597
ygbmv	T/x-1	256	3.0540	3.0630	3.0274	3.0465	3.2275	3.2275	3.1754	3.2221	3.2355
ygbmv	T/x-1	512	2.9907	1.6383	3.0007	2.9895	3.1397	3.1397	3.1518	3.1485	3.1537
ygbmv	T/x-1	1024	2.8933	1.9691	2.9686	2.9613	3.1370	3.1370	3.1256	3.1291	3.1376
ygbmv	T/x-1/y-1	128	3.1952	3.1226	3.1813	3.1722	3.3349	3.3349	3.3189	3.3282	3.2744
ygbmv	T/x-1/y-1	256	3.0637	2.9874	3.0632	3.0572	3.2326	3.2326	3.2254	3.2241	3.1461
ygbmv	T/x-1/y-1	512	2.9897	1.6263	2.9955	2.8597	3.1511	3.1511	3.1372	3.1576	3.1453
ygbmv	T/x-1/y-1	1024	2.9514	2.0295	2.9660	2.8364	2.9984	2.9984	3.0087	3.1293	3.1251
ygbmv	T/x-1/y2	128	3.1806	3.1819	3.1373	3.1723	3.3330	3.3330	3.3221	3.3293	3.3471
ygbmv	T/x-1/y2	256	3.0537	2.8212	3.0360	3.0516	3.2057	3.2057	3.2197	3.1960	3.2188
ygbmv	T/x-1/y2	512	2.9425	1.5930	2.9913	2.9916	3.1192	3.1192	3.1521	3.1273	3.0758
ygbmv	T/x-1/y2	1024	2.9657	1.9889	2.9562	2.9421	3.1313	3.1313	2.9577	3.1114	3.0670
ygbmv	T/x2	128	3.1869	3.1883	3.1883	3.1775	3.3305	3.3305	3.3215	3.3450	3.3514
ygbmv	T/x2	256	3.0124	3.0348	3.0454	3.0598	3.2286	3.2286	3.1766	3.2071	3.2384
ygbmv	T/x2	512	2.9809	1.6206	2.9836	2.9887	3.1557	3.1557	3.0909	3.1644	3.1385
ygbmv	T/x2	1024	2.9620	1.9977	2.9725	2.9439	3.0402	3.0402	3.0772	3.1420	3.1229
ygbmv	T/x2/y-1	128	3.1623	3.1861	3.1801	3.1671	3.3324	3.3324	3.3225	3.2990	3.3607
ygbmv	T/x2/y-1	256	3.0582	3.0575	3.0580	3.0307	3.2191	3.2191	3.1755	3.2273	3.2367
